iter	Passed	Remaining
0	2	271
1	5	302
2	8	313
3	11	310
4	14	310
5	16	305
6	19	304
7	22	304
8	25	301
9	28	295
10	30	287
11	32	280
12	35	273
13	37	267
14	39	261
15	41	256
16	44	251
17	46	247
18	48	243
19	50	238
20	52	234
21	55	231
22	57	227
23	59	221
24	61	218
25	64	217
26	66	214
27	69	212
28	71	209
29	73	206
30	75	203
31	78	200
32	81	198
33	83	195
34	85	192
35	86	187
36	88	184
37	90	181
38	93	179
39	95	177
40	98	174
41	100	172
42	102	169
43	105	167
44	107	164
45	109	161
46	111	158
47	113	156
48	116	154
49	118	151
50	120	148
51	123	146
52	125	144
53	128	142
54	130	140
55	133	138
56	135	135
57	137	133
58	140	130
59	154	139
60	157	136
61	158	133
62	161	130
63	164	128
64	166	125
65	169	123
66	171	120
67	173	117
68	176	114
69	178	112
70	180	109
71	183	106
72	185	104
73	187	101
74	190	98
75	192	96
76	197	95
77	203	93
78	206	91
79	208	88
80	211	86
81	214	83
82	216	80
83	221	79
84	225	76
85	227	74
86	232	72
87	235	69
88	238	66
89	241	64
90	243	61
91	251	60
92	254	57
93	257	54
94	264	52
95	267	50
96	269	47
97	272	44
98	278	42
99	280	39
100	283	36
101	285	33
102	288	30
103	292	28
104	297	25
105	299	22
106	302	19
107	306	17
108	309	14
109	311	11
110	313	8
111	316	5
112	319	2
113	321	0
